SCHEME,0,ID_SCHEME,NAME_SCHEME,DESCRIPTION_SCHEME,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,TIGRIS FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,PINEAPPLE FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,POWDER FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,WORTH FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,PYRAMID FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,LORENE FISR,,,,
SCHEME,1,BLISS_SCHEME,BLISS_SCHEME,ABBEY FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,JULEP FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,ASTON FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,FRONTAGE FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,KUMQUAT FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,HOOVER FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,TEAPOT FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,BURTON FISR,,,,
SCHEME,1,LINDSAY_SCHEME,LINDSAY_SCHEME,BURR FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,ZASADNI FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,WASH FISR,,,,
SCHEME,1,BLISS_SCHEME,BLISS_SCHEME,STURGEON FISR,,,,
SCHEME,1,TIPTON_SCHEME,TIPTON_SCHEME,COOPER FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,SLUICE FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,CLAYTON FISR,,,,
SCHEME,1,QUINN_SCHEME,QUINN_SCHEME,JASMINE FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,COALINGA FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,DRAG FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,PAHUTE FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,PECOS FISR,,,,
SCHEME,1,EARLIMART_SCHEME,EARLIMART_SCHEME,WESTON FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,HONOR FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,HATCHERY FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,GOSS FISR,,,,
SCHEME,1,LINDSAY_SCHEME,LINDSAY_SCHEME,BOOSTER FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,MIRROR FISR,,,,
SCHEME,1,HESPERIA_SCHEME,HESPERIA_SCHEME,BALSAM FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,LATIMER FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,WATERWAY FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,PORTLAND FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,OLD TRAILS FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,OUTPOST FISR,,,,
SCHEME,1,DOWNS_SCHEME,DOWNS_SCHEME,BOWMAN FISR,,,,
SCHEME,1,PIXLEY_SCHEME,PIXLEY_SCHEME,ACALA FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,BURNETTA FISR,,,,
SCHEME,1,WOODVILLE_SCHEME,WOODVILLE_SCHEME,VOSSLER FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,CISTERN FISR,,,,
SCHEME,1,WOODVILLE_SCHEME,WOODVILLE_SCHEME,FLORY FISR,,,,
SCHEME,1,LUCERNE_SCHEME,LUCERNE_SCHEME,SKY HI FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,DANUBE FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,CLAMPETT FISR,,,,
